zipcode,room_type,accommodates,bedrooms,bathrooms,beds,minimum_nights,number_of_reviews,price,price_bin
94133,Entire home/apt,6,3.0,2.5,3.0,30,221,334.0,bin 300-350
94107,Entire home/apt,2,2.0,1.5,2.0,2,22,282.0,bin 250-300
94110,Entire home/apt,7,2.0,1.5,2.0,4,22,240.0,bin 200-250
94110,Private room,2,1.0,1.0,0.0,2,414,85.0,bin 50-100
94114,Entire home/apt,6,3.0,3.0,3.0,3,62,395.0,bin 350-400
94117,Entire home/apt,2,1.0,1.0,1.0,3,411,135.0,bin 100-150
94110,Entire home/apt,2,1.0,1.0,2.0,2,264,150.0,bin 100-150
94117,Shared room,1,1.0,1.5,1.0,30,0,67.0,bin 50-100
94112,Private room,1,1.0,3.0,1.0,30,18,35.0,bin 0-50
94114,Entire home/apt,6,3.0,2.5,3.0,4,34,450.0,bin 400-450
94107,Entire home/apt,4,2.0,2.0,2.0,4,62,395.0,bin 350-400
94115,Private room,2,1.0,1.0,3.0,3,264,120.0,bin 100-150
94117,Entire home/apt,5,1.0,1.0,4.0,1,583,145.0,bin 100-150
94110,Entire home/apt,4,2.0,1.5,2.0,30,4,180.0,bin 150-200
94117,Entire home/apt,4,1.0,1.0,1.0,30,80,160.0,bin 150-200
94127,Entire home/apt,2,1.0,1.0,1.0,2,310,79.0,bin 50-100
94118,Entire home/apt,2,1.0,1.0,2.0,3,225,135.0,bin 100-150
94122,Entire home/apt,2,1.0,1.0,1.0,31,0,116.0,bin 100-150
94114,Private room,6,2.0,2.0,2.0,30,45,379.0,bin 350-400
94110,Entire home/apt,4,2.0,2.0,2.0,4,18,322.0,bin 300-350
94116,Entire home/apt,2,1.0,1.0,1.0,3,469,153.0,bin 150-200
94114,Entire home/apt,5,1.0,1.0,2.0,30,259,210.0,bin 200-250
94103,Entire home/apt,2,1.0,1.5,0.0,30,54,175.0,bin 150-200
94114,Entire home/apt,2,1.0,1.0,1.0,3,303,139.0,bin 100-150
